                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65854,                0.47582,                0.94346,                0.97981,                0.95833,                0.99341,                0.87732,                0.54355,                0.36613,                 0.8423,              0.0018654,              0.0018654,              0.0018654
                     37,                0.63693,                0.46911,                0.93394,                 0.9565,                0.95833,                0.98146,                 0.8293,                0.63348,                 0.4365,                 0.8607,              0.0018614,              0.0018614,              0.0018614
                     38,                0.63961,                0.47685,                0.93653,                0.88331,                0.97917,                0.95709,                0.84804,                0.52931,                0.49885,                0.84271,              0.0018574,              0.0018574,              0.0018574
                     39,                0.61128,                0.46832,                0.91998,                0.94025,                      1,                0.98223,                0.87747,                 0.5098,                0.38137,                0.82575,              0.0018535,              0.0018535,              0.0018535
                     40,                0.62578,                0.45109,                0.91411,                0.88876,                0.99868,                0.97332,                 0.8548,                0.53273,                 0.4746,                0.83869,              0.0018495,              0.0018495,              0.0018495
                     41,                0.65301,                0.46211,                0.95159,                0.95891,                0.97252,                  0.988,                0.88595,                0.50616,                0.37844,                0.82305,              0.0018456,              0.0018456,              0.0018456
                     42,                 0.6453,                0.45657,                0.93061,                0.97822,                0.93584,                0.98926,                0.84233,                0.61572,                 0.4176,                0.85378,              0.0018416,              0.0018416,              0.0018416
                     43,                0.61364,                0.44976,                0.92608,                0.95991,                0.99775,                 0.9926,                0.86731,                 0.5602,                0.39167,                0.83925,              0.0018376,              0.0018376,              0.0018376
                     44,                0.62602,                 0.4509,                0.92384,                0.97773,                0.97917,                0.99346,                 0.8855,                0.51137,                0.37337,                0.82111,              0.0018337,              0.0018337,              0.0018337
                     45,                0.65381,                0.45414,                0.93008,                0.94971,                0.97917,                0.98722,                0.87948,                0.52741,                0.40368,                 0.8284,              0.0018297,              0.0018297,              0.0018297
                     46,                0.62688,                0.44901,                0.93231,                0.95645,                0.97917,                0.98941,                0.87886,                0.51928,                0.37306,                0.83066,              0.0018258,              0.0018258,              0.0018258
                     47,                0.61203,                0.44377,                0.93089,                0.93796,                  0.945,                 0.9877,                0.89173,                0.52259,                0.40915,                0.83016,              0.0018218,              0.0018218,              0.0018218
                     48,                0.59049,                0.44355,                0.92413,                0.93963,                0.97294,                0.99191,                0.88607,                0.52679,                0.41442,                0.82501,              0.0018178,              0.0018178,              0.0018178
                     49,                0.58529,                0.42838,                0.91422,                0.91986,                      1,                0.99038,                0.87606,                0.54818,                0.40056,                0.83831,              0.0018139,              0.0018139,              0.0018139
                     50,                0.62335,                 0.4473,                0.94067,                0.92027,                0.96191,                0.99071,                 0.8821,                0.51057,                0.38651,                0.82254,              0.0018099,              0.0018099,              0.0018099
                     51,                0.63326,                0.45345,                0.94608,                0.97755,                0.97917,                0.99263,                0.88906,                0.53392,                0.35328,                0.83656,               0.001806,               0.001806,               0.001806
                     52,                0.62424,                0.44576,                0.93257,                0.93989,                0.97727,                0.98408,                0.88638,                0.47157,                0.38913,                0.82436,               0.001802,               0.001802,               0.001802
                     53,                0.60354,                0.43862,                0.91942,                0.93994,                0.97816,                0.98932,                0.89876,                0.49127,                0.39941,                0.81684,               0.001798,               0.001798,               0.001798
                     54,                0.62778,                0.44842,                0.93543,                0.97546,                0.97917,                0.99346,                0.89716,                0.49988,                0.38044,                0.81799,              0.0017941,              0.0017941,              0.0017941
                     55,                 0.6072,                0.43737,                0.91233,                0.92269,                0.99469,                 0.9867,                0.89453,                0.47171,                0.38807,                0.80583,              0.0017901,              0.0017901,              0.0017901
                     56,                0.60405,                0.41271,                0.92973,                0.99709,                0.97917,                 0.9942,                0.89717,                0.48938,                0.36183,                0.81415,              0.0017862,              0.0017862,              0.0017862
                     57,                0.61106,                0.43028,                0.92464,                 0.9783,                      1,                0.99459,                0.90194,                 0.4864,                0.33365,                0.81408,              0.0017822,              0.0017822,              0.0017822
                     58,                0.58285,                0.41624,                 0.9126,                0.97728,                0.97917,                0.99132,                0.89622,                 0.4874,                0.35129,                0.81558,              0.0017782,              0.0017782,              0.0017782
                     59,                0.57653,                0.41994,                 0.9174,                0.91976,                0.95531,                0.98504,                 0.8843,                0.50517,                0.41116,                0.82495,              0.0017743,              0.0017743,              0.0017743
                     60,                0.58828,                0.42192,                0.91965,                 0.9573,                0.97917,                0.99137,                0.88381,                0.51694,                0.35603,                 0.8353,              0.0017703,              0.0017703,              0.0017703
                     61,                0.60091,                0.41405,                0.92601,                0.95995,                0.99875,                 0.9942,                0.90979,                0.45068,                0.34235,                0.81126,              0.0017664,              0.0017664,              0.0017664
                     62,                0.59427,                0.43598,                0.91694,                      1,                0.97891,                 0.9942,                0.89137,                0.49785,                0.35507,                 0.8132,              0.0017624,              0.0017624,              0.0017624
                     63,                0.56212,                0.42479,                0.89789,                0.98478,                0.97917,                0.99184,                0.88627,                0.51505,                0.38105,                0.81666,              0.0017584,              0.0017584,              0.0017584
                     64,                 0.5739,                0.41549,                0.89612,                0.95805,                      1,                0.99297,                0.89299,                0.51323,                0.36265,                0.81494,              0.0017545,              0.0017545,              0.0017545
                     65,                0.58175,                0.42163,                0.91239,                0.96344,                0.97917,                0.99378,                0.89041,                0.51806,                0.35284,                0.81723,              0.0017505,              0.0017505,              0.0017505
